word,contSpam,contHam
mcr,0,1
thinking,0,13
sec,0,5
taste,0,2
falconerf,0,1
fb,0,6
jaykwon,0,1
thuglyfe,0,1
07781482378,2,0
activate,5,1
conditions,3,1
terms,6,2
visit,5,5
boye,0,3
depends,0,7
faded,0,1
glory,0,1
ralphs,0,1
dry,0,4
trade,0,2
reunion,0,1
meh,0,8
monday,0,8
nope,0,10
accenture,0,1
7ish,0,2
center,2,2
jackson,0,1
rec,0,1
reache,0,1
dificult,0,3
fighting,0,4
fightng,0,3
lose,1,10
some1,0,4
nuerologist,0,1
fish,0,3
lolnice,0,1
water,0,7
08718727868,2,0
09050002311,2,0
123,3,0
1450,3,0
b4280703,2,0
bored,3,14
outside,0,12
hyde,0,2
near,0,8
park,1,8
village,0,3
westshore,0,1
anthony,0,2
bringing,1,3
fees,0,2
rent,0,8
significance,0,1
character,0,5
jada,0,3
kusruthi,0,3
matured,0,3
opinion,0,7
silent,0,8
simple,0,8
spl,0,4
stylish,0,3
ak,0,1
ammo,0,1
scrounge,0,2
frm,0,8
prabha,0,2
realy,0,5
sory,0,2
soryda,0,2
forgiven,0,2
jst,1,2
tat,0,4
40gb,5,0
83355,3,0
ibhltd,2,0
ipod,8,0
ldnw15h,2,0
mp3,3,2
mtmsgrcvd18,2,0
boltblue,1,0
cha,1,0
jamz,1,0
mono,2,0
poly3,1,0
slide,1,0
toxic,1,0
bubbletext,1,0
pin,1,3
renewal,1,0
tgxxrz,1,0
topped,1,0
bday,0,2
booking,1,1
definite,0,2
fri,2,9
nos,1,1
problematic,0,1
transport,0,1
abnormally,0,1
adults,0,1
behave,0,3
children,2,4
unconscious,0,1
ebay,0,2
pickle,0,2
tacos,0,2
campus,0,4
rude,3,1
02,6,0
0871,2,0
09,2,0
872,1,0
9755,1,0
attempt,15,1
box95qu,2,0
mas,0,4
00,10,0
08717898035,3,0
150,16,0
85023,7,0
member,6,2
offers,9,1
savamob,8,0
sub,8,1
unsub,7,0
lady,0,6
pretty,0,10
single,1,6
24hrs,2,0
channel,1,0
pg,1,1
recieve,1,0
teletext,1,0
faggot,0,1
04,6,0
07815296484,1,0
08718738001,1,0
2003,6,0
41782,1,0
800,15,0
redeemed,6,0
bani,0,1
hoping,0,9
l8r,0,3
malaria,0,1
kiss,0,20
leads,0,1
passionate,0,4
sea,0,13
probably,0,24
buttons,0,1
fat,0,5
fingers,0,5
returns,0,3
ummmmmaah,0,2
tirupur,0,2
2stop,2,0
50p,8,0
age16,7,0
applausestore,1,0
csc,1,0
max6,1,0
monthlysubscription,1,0
web,2,0
ability,0,2
confidence,0,4
develop,0,2
famous,0,1
listen,2,6
losing,0,2
married,2,5
quote,1,4
self,2,3
temper,0,1
unconditionally,0,1
bash,0,1
oclock,0,1
cooped,0,1
recovery,0,2
bloke,1,2
cali,0,2
english,0,4
hotel,2,3
invitation,0,1
weddin,0,1
omw,0,6
alibi,0,1
btw,0,4
cutting,0,1
cage,0,1
cock,0,2
cuck,0,1
owns,0,2
paces,0,1
reminding,0,2
sink,0,1
surrounded,0,1
deficient,0,1
hurry,1,5
acknowledgement,0,1
astoundingly,0,1
blood,0,7
demand,0,1
faggy,0,1
fo,0,2
generally,0,2
oath,0,1
tactless,0,1
loose,0,2
magic,0,1
milk,0,3
warm,2,7
cheap,4,5
likely,0,3
pan,0,1
silly,0,1
causes,0,1
essential,0,2
mutations,0,1
sunscreen,0,1
thesedays,0,1
uv,0,1
online,0,17
pics,11,7
aiyo,0,3
bao,0,1
fast,1,14
gee,0,5
mei,0,1
sugardad,0,1
workin,0,5
brownie,0,1
barely,0,4
geeeee,0,1
fuck,0,19
2mrw,0,3
american,0,3
callin,0,2
freek,0,1
icky,0,1
ninish,0,1
ey,0,2
oooh,0,2
ridden,0,1
gym,0,7
smiles,0,4
daddy,0,7
dick,1,2
scream,0,5
missy,0,1
clean,0,8
mum,0,17
sch,0,15
yar,0,10
goggles,0,1
lab,0,2
door,1,6
call09050000327,2,0
arguing,0,1
09050005321,1,0
claims,1,0
arngd,0,1
bite,0,2
bites,0,1
dancing,0,2
frnt,0,1
marriage,0,6
sayin,0,1
snake,0,2
unfortuntly,0,1
walkin,0,1
izzit,0,5
08002988890,1,0
textand,1,0
kids,0,5
wife,0,17
jjc,0,1
tendencies,0,1
headache,0,3
em,1,4
jazz,0,4
quit,0,4
yogasana,0,5
gotany,0,1
hardly,0,2
meive,0,1
srsly,0,1
yi,0,1
08715705022,2,0
1x150p,4,0
80878,1,0
spree,5,0
08712402050,2,0
10ppm,2,0
ag,2,0
lines,2,1
pound,4,2
promo,2,0
07753741225,1,0
08715203677,1,0
24,4,0
42478,1,0
grand,0,3
prix,0,1
nitz,0,1
stands,0,1
0825,2,0
542,4,0
announcement,5,0
exhausted,0,3
pie,0,3
train,0,6
ar,0,7
present,0,3
blastin,0,1
indian,0,4
occur,0,1
ocean,0,1
rajnikant,0,1
stopped,0,4
swimming,0,2
tsunamis,0,2
noon,0,11
07880867867,1,0
07946746291,1,0
28,4,0
2morow,1,1
clubsaisai,1,0
ladies,3,1
nichols,1,1
paris,3,0
roses,1,0
soiree,1,1
speciale,1,0
xclusive,1,0
zouk,1,0
banter,0,1
bridgwater,0,1
neva,0,13
imma,0,5
somethin,0,3
22,1,1
83222,3,0
daily,3,1
euro2004,5,0
results,3,0
answers,0,3
game,3,9
ques,0,1
suits,0,1
valentine,1,3
dependents,0,1
cer,0,1
thanx4,0,1
future,3,2
aunties,0,1
beauties,0,1
handsomes,0,1
hundreds,0,1
uncles,0,3
leona,0,4
reaction,0,2
shock,1,1
shuhui,0,6
family,0,14
happiness,0,9
friendships,0,1
grow,0,2
snow,0,9
weather,0,6
dismay,0,1
alex,0,6
concerned,0,1
pub,2,10
bud,0,2
drinks,2,2
useful,0,2
market,0,2
officially,0,2
paid,1,4
pop,0,2
tootsie,0,1
darren,0,8
longer,0,5
25p,7,0
89693,2,0
area,7,4
gaytextbuddy,2,0
postcode,2,0
textbuddy,2,0
09064019014,1,0
4882,1,0
matches,5,0
vodafone,4,0
forwarded,4,4
ml,0,1
seven,0,2
seventeen,0,1
80062,5,0
expressoffer,2,0
holder,5,0
pc,5,1
tlp,3,0
ts,10,0
voucher,13,0
weeks,7,4
biola,0,1
sweetheart,0,2
dad,0,18
fetching,0,1
login,3,2
restock,0,1
thanksgiving,0,2
brighten,0,1
effects,0,1
sound,1,8
wee,0,1
thursday,0,3
allo,0,1
braved,0,1
ham,0,2
jolly,0,1
taken,0,4
trains,0,1
triumphed,0,1
cartoon,0,4
church,0,3
listening,1,2
temple,0,3
uncomfortable,0,1
08715203694,1,0
31,3,0
40533,2,0
email,1,13
3ss,1,0
rstm,1,0
sw7,1,0
gentle,0,2
rough,0,1
sonetimes,0,1
panic,0,1
starting,2,5
tuesday,0,4
bet,0,4
drugs,0,8
hella,0,3
town,3,20
wesleys,0,1
dealer,0,1
drug,0,5
impatient,0,2
cloud,0,1
earth,0,3
evng,0,4
river,0,2
sun,0,12
wikipedia,0,1
08718711108,1,0
88800,1,0
89034,1,0
premium,1,0
envelope,2,2
lays,0,2
paper,0,8
repent,0,1
fetch,0,5
prepare,0,3
kama,0,1
positions,0,1
sutra,0,1
bakra,0,1
en,0,2
kalstiya,0,1
nange,0,1
lakhs,0,1
belly,0,5
ho,0,4
laugh,0,5
posts,1,1
sun0819,1,0
08452810071,1,0
ditto,0,1
peace,0,3
saying,0,14
knw,0,8
wetherspoons,0,1
awake,0,3
piggy,0,1
freaky,0,1
lonely,1,2
scrappy,0,1
yelling,0,1
explain,0,4
hex,0,1
sdryb8i,0,1
xy,0,4
150ppmsg,1,0
1da,1,0
89555,3,0
bedroom,1,6
g2,1,0
lapdancer,1,0
sex,7,2
sue,1,0
textoperator,3,0
building,0,2
crying,0,1
imprtant,0,1
king,3,3
map,0,3
tomorw,0,1
accordingly,0,2
ans,4,6
bfore,0,1
cherthala,0,1
cochin,0,2
engaged,0,1
tmorow,0,1
bold,0,4
torch,0,3
08712404000,1,0
448712404000,1,0
farm,0,3
1405,0,1
1680,0,1
1843,0,1
4d,0,2
law,0,2
purchase,2,1
gpu,0,2
looks,0,6
poop,0,1
entrepreneurs,0,1
corporation,0,1
gap,0,3
dehydration,0,1
fluids,0,1
prevent,0,1
idea,0,8
weird,0,3
away,2,14
trek,0,1
harri,0,1
drivin,0,2
alerts,1,0
cnupdates,1,0
deck,1,0
fantastic,3,3
gage,1,0
newsletter,1,0
aeronautics,0,2
aeroplane,0,2
aftr,0,5
calld,0,2
datz,0,2
dey,0,5
height,0,4
hurried,0,2
professors,0,2
sit,0,5
students,0,4
wer,0,2
ws,0,2
attributed,0,1
shitstorm,0,1
timing,0,4
08714712388,1,0
7pm,5,1
dorm,0,2
stress,0,1
sell,1,5
050703,2,0
09071512433,2,0
1250,2,0
449071512431,1,0
b4,5,6
callcost,2,0
csbcm4235wc1n3xx,2,0
max,2,0
mobilesvary,2,0
px3748,0,1
specs,0,1
sth,0,1
08714712394,1,0
assume,0,3
macha,0,1
mindset,0,1
upset,0,2
flim,0,1
wondar,0,1
cookies,0,2
jelly,0,1
admit,0,2
correction,0,2
mad,0,2
running,1,2
scrumptious,0,1
wants,1,15
ba,0,2
dao,0,1
half8th,0,1
exactly,0,4
jide,0,1
visiting,0,1
2kbsubject,1,0
alertfrom,1,0
drvgsto,1,0
jeri,1,0
low,1,2
prescripiton,1,0
stewartsize,1,0
spring,0,2
yay,0,4
steak,0,1
neglect,0,1
twice,0,5
add,0,6
opportunity,0,4
prayers,0,1
4t,4,0
81151,4,0
ctxt,2,0
mtmsg,2,0
nokia6650,2,0
txtauction,5,0
attached,0,1
faster,1,3
gals,0,4
mayb,0,5
rite,0,12
glad,1,5
clocks,0,1
hadn,0,1
realised,0,1
shouted,0,2
wahay,0,1
eyes,0,6
gaze,0,1
shorter,0,3
930,0,2
08706091795,2,0
82324,1,0
helpline,2,0
subscribed,2,0
spoken,0,3
gist,0,1
40,2,0
realize,1,1
tattoos,1,0
thousands,1,0
premier,2,0
caveboy,0,1
gimme,0,2
lip,0,2
library,0,8
confused,0,2
holla,0,4
spare,0,2
faith,0,1
makes,0,14
possible,0,6
acting,0,2
vibrate,0,1
08704439680ts,1,0
79,1,0
grandmas,0,1
hungover,0,1
09066368327,1,0
50pmmorefrommobile2bremoved,1,0
claimcode,1,0
closingdate04,1,0
m39m51,1,0
mobypobox734ls27yf,1,0
unclaimed,1,0
faber,0,1
gua,0,1
mt,1,3
yest,0,5
wishing,0,7
50perwksub,3,0
88039,3,0
city,3,2
skilgme,3,0
store,7,2
summer,4,1
tscs087147403231winawk,3,0
goin,0,15
meetin,0,2
tis,0,4
wonder,0,10
apparently,0,3
closed,0,5
dramatic,0,1
drive,0,12
inch,0,2
schools,0,2
damn,0,6
hunting,0,1
drunkard,0,1
wats,0,4
idc,0,1
weaseling,0,1
space,1,5
picking,0,10
trash,0,1
begging,0,2
smokes,0,3
lovely,0,13
sing,1,1
punish,0,1
slave,0,7
beerage,0,1
0578,2,0
opening,0,2
randomlly,0,1
couldn,0,5
diff,0,2
fixes,0,1
spelling,0,1
100p,1,0
community,2,1
living,1,2
perfect,1,3
087018728737,1,0
08718727870,4,0
81618,3,0
pole,1,1
polyphonic,2,0
subpoly,3,0
toppoly,1,0
tune,1,0
bein,0,2
enjoyed,2,2
fondly,0,1
thot,0,2
dogbreath,0,1
jan,0,3
sounding,0,1
omg,0,3
weighed,0,1
woohoo,0,1
dictionary,0,4
pieces,0,3
uncountable,0,1
14thmarch,1,0
9996,1,0
availa,1,0
canlove,0,1
friendsare,0,1
nic,0,2
petey,0,2
thekingshead,0,1
whereare,0,1
m263uz,4,0
pobox84,5,0
appt,0,3
36504,5,0
8077,1,0
getzed,8,0
mates,8,0
no1,6,0
norm150p,4,0
w45wq,4,0
08000407165,2,0
4jx,1,0
88222,2,0
cashto,2,0
getstop,2,0
php,2,0
rg21,1,0
3d,0,4
dled,0,1
imp,0,2
ain,0,4
smokin,0,1
boooo,0,1
bec,0,2
ugh,0,11
nervous,0,1
costumes,0,1
gift,12,6
hint,0,2
yowifes,0,1
bag,0,6
borrow,0,2
bid,2,0
notifications,1,0
outbid,1,0
plyr,1,0
shinco,1,0
simonwatson5120,1,0
smsrewards,1,0
model,0,5
ones,0,6
youi,0,1
dobby,0,2
galileo,0,1
responding,1,2
2u,1,1
boo,0,5
enjoyin,0,1
gettin,2,6
hunny,0,4
llspeak,0,1
loveme,0,2
soonlots,0,1
xxxx,0,3
yourjob,0,1
ache,0,4
cappuccino,0,2
sips,0,1
starshine,0,1
teasing,0,5
08702840625,2,0
220,1,0
3qxj9,2,0
9ae,2,0
cm2,1,0
comuk,3,0
extra,4,5
smsservices,1,0
yourinclusive,1,0
08701417012,2,0
8007,13,0
alfie,2,0
charity,2,0
m8s,2,0
moon,2,4
nokias,2,0
polys,6,0
profit,2,1
zed,4,0
bits,0,1
brain,0,1
hahaha,0,1
green,1,5
turned,0,1
burial,0,1
mojibiola,0,1
07821230901,2,0
09065174042,2,0
cust,3,0
ages,1,3
hol,1,1
mate,0,9
rv,0,1
rvx,0,1
aburo,0,2
countin,0,2
given,0,3
kz,0,2
skyped,0,2
sura,0,5
ultimatum,0,2
surely,0,4
successful,0,2
08002888812,2,0
inconsiderate,0,2
nag,0,2
recession,0,2
wed,1,4
2morrow,0,2
soo,0,2
understand,0,8
comprehensive,0,1
mother,0,5
prashanthettan,0,1
09066350750,1,0
8wp,1,0
await,11,1
collection,16,0
ibiza,2,0
ppm,3,0
sk3,1,0
doug,0,1
guitar,0,1
impress,0,1
playing,0,4
realizes,0,1
samantha,0,1
seconds,0,3
suite,0,1
warning,0,1
xavier,0,3
stomach,0,2
swear,0,1
trauma,0,1
matter,0,4
shoes,0,1
wan,2,38
inner,0,1
tigress,0,1
version,0,3
bettersn,0,1
careful,2,2
lovejen,0,2
overdose,0,1
poor,0,5
probthat,0,1
sn,0,4
spk,0,4
urfeeling,0,1
returned,0,3
83110,1,0
discreet,2,0
fall,1,4
vip,3,0
worlds,1,1
ana,0,1
hai,0,3
rto,0,1
sathy,0,1
spoons,0,1
named,0,2
tampa,0,6
genius,0,2
connections,0,1
sort,1,7
corvettes,0,1
lately,0,1
lotta,0,1
09061104283,1,0
50pm,1,0
approx,1,1
cds,4,0
mystery,1,1
records,1,0
smsco,2,0
supply,3,0
virgin,1,0
yrs,3,4
bunkers,0,1
consider,0,2
peaceful,0,2
walls,0,2
07,2,0
07808,1,0
08719899217,1,0
41685,2,0
xxxxxx,1,0
asap,6,2
birds,1,3
champneys,1,0
chaps,1,0
dob,1,0
posh,1,0
prods,1,0
trial,1,0
user,3,1
0721072,1,0
hole,0,1
philosophical,0,1
saved,0,3
drop,2,12
cuddle,0,2
nap,0,2
atleast,0,1
shakespeare,0,1
shesil,0,3
09064011000,2,0
10k,3,0
5k,2,0
cr01327bt,2,0
fixedline,2,0
ntt,10,0
travel,2,1
castor,0,2
liverpool,2,0
mid,2,5
played,2,2
09058094565,2,0
08,2,0
09065171142,1,0
stopsms,1,0
doit,1,0
downloaded,1,0
mymoby,1,0
reminder,1,1
curfew,0,1
ear,0,1
getsleep,0,1
gibe,0,1
knew,0,8
lead,0,4
midnight,1,5
studdying,0,1
training,0,6
wanting,1,3
woul,0,1
massages,0,1
oil,0,1
sup,0,4
mac,0,2
permissions,0,1
usb,0,2
yoyyooo,0,1
gibbs,0,2
hussey,0,1
mike,0,1
unsold,0,5
failed,0,2
sad,0,15
faglord,0,1
unbelievable,0,2
murder,0,6
ctagg,0,1
ctargg,0,1
cttargg,0,1
ctter,0,1
cttergg,0,1
cutter,0,1
nutter,0,1
grateful,0,1
happier,0,1
superb,1,1
agents,0,1
experiment,0,1
invoices,0,1
outstanding,0,3
teach,0,5
smell,0,1
tobacco,0,1
assumed,0,1
derek,0,3
taylor,0,2
worst,0,1
charles,0,2
bookmark,1,0
dizzee,1,0
lastest,1,0
libertines,1,0
marley,1,0
nookii,1,0
racal,1,0
stereophonics,1,0
strokes,1,0
greet,2,2
grinule,0,1
plus,6,12
fudge,0,1
oreos,0,1
stores,0,2
white,0,4
08709222922,2,0
08712460324,5,0
5p,2,0
8p,2,0
cheaper,2,2
gay,5,1
january,1,5
male,3,0
peak,2,0
sale,4,3
ym,0,4
zaher,0,1
dieting,0,1
nauseous,0,1
pig,0,2
pissed,0,3
sweets,0,2
chip,0,1
addicted,0,2
iam,0,5
msging,0,3
wrong,0,11
photo,2,3
registered,3,3
yck,0,2
ashley,0,1
ma,0,4
avalarr,0,1
hollalater,0,1
attend,0,3
rounds,0,1
blogging,0,1
blogspot,0,1
magicalsongs,0,1
ate,0,4
diet,0,2
slices,0,1
kvb,0,1
1million,1,0
88600,3,0
box403,1,0
ppt150x3,1,0
w1t1jy,1,0
alternative,0,1
term,2,2
fro,0,1
mo,0,7
moments,0,2
ore,0,1
owo,0,1
samus,0,1
shoulders,0,1
09063440451,1,0
box334,1,0
lux,2,0
matthew,1,0
ppm150,1,0
sk38xh,4,0
jeans,0,2
wear,0,3
fever,0,3
vomitin,0,1
09061749602,1,0
1yf,1,0
528,1,0
hp20,1,0
bleh,0,1
stuffed,0,1
writhing,0,1
paypal,0,1
pockets,0,1
tons,1,1
voila,0,1
medical,0,4
places,0,4
theyre,0,1
folks,1,0
blown,0,1
recently,1,4
sorta,0,1
application,0,2
applying,0,1
expensive,0,1
ogunrinde,0,1
scores,0,1
secondary,0,1
sophas,0,1
photos,0,4
114,3,0
14,3,0
tcr,3,0
w1,4,0
lodging,0,1
chk,0,1
dict,0,1
ms,0,2
shb,0,1
carefully,0,4
feels,0,6
gravity,0,4
heavy,0,7
truth,0,9
bowl,0,4
filthy,2,0
stories,1,0
brand,3,2
decision,0,2
magical,0,3
simpler,0,2
retired,0,1
welp,0,2
natwest,0,1
09050001808,2,0
m95,2,0
valid12hrs,3,0
chad,0,1
christians,0,1
gymnastics,0,1
site,0,3
liking,0,1
necklace,0,2
token,0,1
aptitude,0,1
15,0,2
chicken,0,2
earlier,0,12
horse,0,1
racing,0,2
rice,0,2
closes,0,2
wrongly,0,1
ad,0,2
biatch,0,1
boggy,0,1
borin,1,1
boring,0,4
crap,0,2
nxt,0,6
hesitate,0,1
notebook,0,1
weakness,0,1
salary,0,4
chocolate,0,1
potential,0,2
talent,0,3
carpark,0,1
eightish,0,1
reckon,0,1
09063458130,2,0
3g,2,2
dload,2,0
java,2,0
noline,2,0
polyph,2,0
rentl,2,0
videochat,2,0
videophones,2,0
fuckin,0,2
dropped,0,3
loving,0,12
382,0,1
5wkg,0,1
61,0,1
65,0,2
66,0,1
67441233,0,1
6ph,0,1
bus8,0,1
cres,0,1
ere,0,1
irene,0,1
tech,0,2
ubi,0,1
yun,0,5
èn,0,1
butt,0,3
sd,0,1
sore,0,3
5ish,0,1
7am,0,1
party,0,12
relaxing,0,1
skirt,0,1
stripes,0,1
blessed,0,2
jesus,0,4
miracle,0,7
escalator,0,1
aunts,0,2
beth,0,1
charlie,0,1
helen,1,1
quiet,0,1
heard,3,7
syllabus,0,1
bluetoothhdset,1,0
contract,1,2
doublemins,1,0
doubletxt,1,0
panasonic,1,0
30pm,0,1
erode,0,1
kolathupalayam,0,1
poyyarikatur,0,1
unjalur,0,1
apt,0,1
hero,0,1
kerala,0,4
terrible,0,3
fan,0,2
lovers,0,2
meat,0,1
supreme,0,1
bakrid,0,1
ctla,0,1
cudnt,0,1
drove,0,2
ente,0,1
ishtamayoo,0,1
regret,0,3
exe,0,1
anniversary,0,2
coaxing,0,1
cougar,0,1
finds,0,1
fond,0,1
glorious,0,1
images,0,1
pen,0,2
prey,0,2
souveniers,0,1
09065394514,1,0
datebox1282essexcm61xn,2,0
fancies,3,0
secretly,2,0
pattern,0,2
scratches,0,1
throat,0,3
plm,0,2
asleep,0,5
foreign,0,2
lecture,0,4
stamps,0,2
nanny,0,1
raise,0,3
sheffield,0,2
defo,0,1
hardest,0,1
lekdog,0,1
millions,0,1
shitin,0,1
zoe,1,1
filling,0,1
loverboy,0,6
setting,0,2
blankets,0,1
sufficient,1,1
thx,0,2
nyt,3,10
edison,0,1
fool,0,2
gm,0,3
gn,0,4
gnt,0,1
rightly,0,1
speechless,0,1
viva,0,1
atten,0,1
roast,0,3
09058097218,1,0
ls15hb,2,0
concentrate,0,3
educational,0,2
chatting,1,1
flirting,1,0
walked,0,3
euro,2,0
kickoff,2,0
3rd,0,4
june,1,2
sells,0,2
analysis,0,1
data,0,1
thesis,0,2
belligerent,0,1
april,0,6
drunk,0,2
hiya,0,5
ink,0,1
les,0,1
rudi,0,1
sends,0,2
snoring,0,1
515,0,1
deciding,0,2
throwing,0,1
150p16,2,0
84025,3,0
compare,2,0
eastenders,2,0
flower,2,4
lily,2,0
tulip,2,0
violet,2,0
wkent,2,0
networking,0,2
process,0,6
support,0,6
technical,0,3
finalise,0,1
prepared,0,2
works,0,1
flirtparty,1,0
replys150,1,0
bitch,1,3
dentist,0,1
09058091854,1,0
6wu,1,0
box385,1,0
m6,1,0
revealed,3,0
bathing,0,3
09050003091,2,0
c52,2,0
xchat,4,0
juicy,0,1
lul,0,1
nurses,0,1
obese,0,1
oyea,0,1
shes,0,1
ami,0,1
iccha,0,1
kaaj,0,1
kicchu,0,1
korche,0,1
korte,0,1
na,0,9
oi,0,1
parchi,0,1
tul,0,1
copies,0,1
movies,0,8
sculpture,0,1
convey,0,6
regards,0,3
pokkiri,0,1
surya,0,1
vijay,0,4
pic,8,5
dearer,0,3
dem,0,3
attraction,0,1
breath,1,1
craziest,0,1
curry,0,2
fight,0,2
makiing,0,1
planet,0,1
praises,0,1
proove,0,1
sambar,0,1
singing,0,2
sorrows,0,1
thoughts,0,2
4few,0,1
alwys,0,3
clock,0,3
conected,0,1
evn,0,3
itz,0,2
ndship,0,1
needle,0,1
hands,0,4
spatula,0,1
09061221061,1,0
28days,1,0
2yr,1,0
99,1,0
box177,1,0
digital,5,0
m221bp,1,0
sipix,3,0
warranty,1,0
09061790121,2,0
doctor,0,5
complexities,0,1
freely,0,1
outrageous,0,1
taxes,0,1
tomorro,0,1
ryder,0,1
elvis,1,0
presleys,1,0
receipt,3,2
subscriber,4,0
fret,0,1
postal,0,1
strips,0,1
cliff,0,1
gifts,0,1
interesting,0,4
ne,0,3
uni,0,3
wrking,0,1
depressed,0,2
drops,0,1
sittin,0,1
wind,0,2
black,0,7
aiyah,0,5
awaiting,4,0
information,4,2
o2,3,0
surprise,2,5
urawinner,2,0
hen,0,1
grins,0,8
italian,0,4
smoked,0,1
math,0,2
dhoni,0,1
rocks,0,2
teju,0,1
hourish,0,1
amla,0,1
durban,0,1
ground,0,2
convenience,0,1
evaluation,0,1
09050000301,1,0
449050000301,1,0
80155,1,0
chat80155,1,0
chatter,1,0
rcd,1,0
speed,1,2
speedchat,1,0
swap,1,0
cancel,2,2
cheyyamo,0,1
08000776320,2,0
aiyar,0,1
80160,1,0
survey,1,1
txt43,1,0
catching,0,3
brothers,0,1
falls,0,2
gal,0,3
throws,0,1
whos,0,3
hmv1,1,0
difficulties,0,1
errors,0,1
howz,0,6
piah,0,1
sar,0,1
tau,0,1
08707808226,1,0
1stchoice,1,0
wearing,0,4
film,1,5
shade,0,1
copied,0,1
08450542832,1,0
84122,1,0
luck,4,4
marketing,1,0
notified,1,0
raining,0,5
station,0,5
tank,0,2
4fil,1,0
69911,1,0
cute,1,7
sexual,1,0
theirs,1,0
virgins,1,0
kaitlyn,0,1
sitter,0,1
adult,3,1
comment,0,1
danger,0,1
peeps,0,1
veggie,0,1
neighbors,0,1
computerless,0,1
balloon,0,1
drms,0,1
silently,0,2
61200,1,0
energy,2,4
itcould,1,0
le,1,1
lucozade,1,0
oz,1,1
packs,1,0
rally,1,0
wrc,1,0
melody,0,1
horrible,0,4
macs,0,1
toot,0,2
bigger,0,3
hme,0,1
nw,0,3
islands,1,1
chennai,0,11
velachery,0,1
flippin,0,1
breaking,0,1
cstore,0,1
annoying,0,2
hangin,0,1
makin,0,2
lodge,0,1
popcorn,0,1
quizzes,0,1
shame,0,3
worrying,0,1
087016248,1,0
celeb,3,0
jordan,4,1
pocketbabe,3,0
08719181503,1,0
voicemail,3,0
2go,0,3
arguments,0,1
fed,0,1
himso,0,1
beneficiary,0,2
credited,1,3
neft,0,2
tuition,0,6
understanding,0,2
1win150ppmx3,2,0
choice,3,2
enter,7,3
subs16,2,0
apart,0,2
appreciated,0,1
semi,0,1
30apr,1,0
delivered,3,0
exp,1,0
arms,0,4
strong,3,4
maaaan,0,1
guessin,0,1
walmart,0,2
ilol,0,1
mite,0,4
personally,0,1
wuldnt,0,1
creepy,0,2
lunchtime,0,1
organise,0,1
08719181513,2,0
complete,0,3
5years,0,1
easier,0,4
passable,0,1
phd,0,1
score,0,2
4info,3,0
87021,3,0
nok,2,0
txtin,3,0
prakesh,0,1
apps,0,3
aging,0,1
anti,0,3
betta,0,1
invest,0,2
products,0,1
rofl,0,2
1hr,0,2
delay,0,1
08700435505150p,1,0
accommodation,1,0
global,1,0
ph,2,1
phb1,1,0
various,1,1
submitting,0,1
08712405020,3,0
84128,2,0
textcomp,2,0
purse,0,1
snatch,0,1
0quit,0,1
2nhite,0,1
basq,0,1
dancce,0,1
dnot,0,1
drivby,0,1
drum,0,1
edrunk,0,1
iff,0,1
ihave,0,1
pthis,0,1
ros,0,1
senrd,0,1
xxxxxxx,0,1
morn,0,3
relieved,0,1
westonzoyland,0,1
greatness,0,1
europe,1,1
chinese,0,5
docs,0,2
songs,0,2
goin2bed,0,1
havin,1,2
only1more,0,1
mc,0,1
2nite,4,4
ava,0,1
every1,0,1
everythin,0,1
goodtime,0,1
hun,0,5
ifink,0,1
l8rs,0,1
melnite,0,1
mon,0,8
oli,0,1
rang,0,2
sorted,0,2
08712402779,1,0
flip,0,1
bian,0,1
exhibition,0,1
glass,0,1
shun,0,1
el,0,1
nino,0,1
cbe,0,3
honey,0,6
accounts,0,1
executive,0,2
jd,0,1
downstem,0,1
picked,1,4
08718730555,1,0
wahala,0,1
acid,0,1
evil,0,1
inperialmusic,0,1
insects,0,1
john,0,8
leafcutter,0,1
listening2the,0,1
molested,0,1
plumbing,0,1
remixed,0,1
weirdest,0,2
bedbut,0,1
bellearlier,0,1
didntgive,0,1
jenxxx,0,1
l8tr,0,2
thepub,0,1
uwana,0,1
exact,0,3
09096102316,1,0
2moro,1,2
jane,1,1
minmoremobsemspobox45po139wa,2,0
cheery,0,1
tee,0,2
cell,0,4
thts,0,5
control,0,1
dough,0,1
80488,4,0
weirdo,0,1
mode,0,7
profiles,0,1
stalk,0,1
express,0,2
fails,0,2
irritates,0,2
jerry,0,2
drinkin,0,2
wondering,0,6
dog,0,3
5pm,0,2
95,0,1
deposit,0,1
pax,0,1
tour,3,2
jap,0,1
disappeared,0,1
birthdate,0,1
certificate,0,1
publish,0,1
dreams,0,10
nydc,0,2
wheellock,0,1
destination,0,1
favour,0,3
happenin,0,1
ola,0,2
settling,0,1
cocksuckers,0,1
garbage,0,1
ipads,0,1
items,0,1
novelty,0,1
worthless,0,1
broke,0,3
dads,0,1
fran,0,3
janx,0,1
knackered,0,2
designation,0,1
developer,0,1
software,0,2
09701213186,1,0
gold,1,1
jamster,2,0
logos,2,0
musicnews,1,0
videosound,1,0
videosounds,1,0
3gbp,2,0
lionm,1,0
lionp,1,0
lions,1,0
original,2,1
ringtones,5,0
jokin,0,2
bb,0,7
spirit,0,1
shattered,0,1
alrite,0,7
girlie,0,1
idiot,1,1
colours,0,1
darker,0,1
styling,0,1
gray,0,1
listn,0,1
remembr,0,2
watevr,0,1
whenevr,0,2
harry,2,0
phoenix,2,0
potter,2,0
readers,2,0
minus,0,1
paragraphs,0,1
shd,0,5
coveragd,0,1
